,법정동,인구수,택배함 개수,물류창고 개수,전기차 등록 수,충전기 개수,전기차한대당충전소개수
266,서울특별시 성북구 석관동,34286,1,0,62,12,0.1935483870967742
267,서울특별시 강북구 미아동,129120,2,1,217,22,0.10138248847926268
268,서울특별시 강북구 번동,49588,2,0,149,5,0.03355704697986577
269,서울특별시 강북구 수유동,102828,4,0,185,1,0.005405405405405406
270,서울특별시 강북구 우이동,10847,1,0,55,0,0.0
271,서울특별시 도봉구 쌍문동,74086,0,0,118,4,0.03389830508474576
272,서울특별시 도봉구 방학동,73387,1,0,240,30,0.125
273,서울특별시 도봉구 창동,116122,7,0,244,34,0.13934426229508196
274,서울특별시 도봉구 도봉동,46428,2,2,116,7,0.0603448275862069
275,서울특별시 노원구 월계동,75754,2,2,159,7,0.0440251572327044
276,서울특별시 노원구 공릉동,78078,3,0,166,32,0.1927710843373494
277,서울특별시 노원구 하계동,48387,0,0,69,5,0.07246376811594203
278,서울특별시 노원구 상계동,197531,4,0,462,26,0.05627705627705628
279,서울특별시 노원구 중계동,102088,0,0,181,27,0.14917127071823205
280,서울특별시 은평구 수색동,13152,0,0,33,0,0.0
281,서울특별시 은평구 녹번동,36363,1,0,119,1,0.008403361344537815
282,서울특별시 은평구 불광동,64863,2,0,93,0,0.0
283,서울특별시 은평구 갈현동,42832,3,0,62,0,0.0
284,서울특별시 은평구 구산동,31731,1,0,62,0,0.0
285,서울특별시 은평구 대조동,27312,0,0,27,0,0.0
286,서울특별시 은평구 응암동,84329,0,0,193,2,0.010362694300518135
287,서울특별시 은평구 역촌동,44420,1,0,69,2,0.028985507246376812
288,서울특별시 은평구 신사동,45941,1,0,128,0,0.0
289,서울특별시 은평구 증산동,18492,1,0,41,0,0.0
290,서울특별시 은평구 진관동,54799,0,0,219,12,0.0547945205479452
291,서울특별시 서대문구 충정로2가,1140,0,0,0,0,0.0
292,서울특별시 서대문구 충정로3가,5005,0,0,0,0,0.0
293,서울특별시 서대문구 합동,1082,0,0,0,0,0.0
294,서울특별시 서대문구 미근동,438,0,0,0,0,0.0
295,서울특별시 서대문구 냉천동,3058,0,0,0,2,0.0
296,서울특별시 서대문구 천연동,4588,0,0,30,0,0.0
297,서울특별시 서대문구 옥천동,967,0,0,0,0,0.0
